"","from","to","weight"
"1471","21L (Omicron)","22A (Omicron)",0.897145159709348
"1472","21L (Omicron)","22B (Omicron)",0.871614683688047
"1473","21L (Omicron)","22C (Omicron)",0.998744069877195
"1475","21L (Omicron)","22E (Omicron)",0.79589333167233
"1476","21L (Omicron)","22F (Omicron)",0.619731824707636
"1477","22A (Omicron)","BA.2",0.837788947690503
"1479","22A (Omicron)","BA.5.1",0.959507345635036
"1481","22A (Omicron)","XAF",0.696062573403587
"1482","22A (Omicron)","XAM",0.756160094789085
"1483","22A (Omicron)","XAZ",0.93817105185194
"1513","22A (Omicron)","22B (Omicron)",0.962744746854244
"1514","22A (Omicron)","22C (Omicron)",0.894765128952707
"1516","22A (Omicron)","22E (Omicron)",0.89862388906274
"1517","22A (Omicron)","22F (Omicron)",0.602391301968113
"1518","22B (Omicron)","BA.2",0.844057628918088
"1520","22B (Omicron)","BA.5.1",0.932225653292138
"1522","22B (Omicron)","XAF",0.667643566952632
"1523","22B (Omicron)","XAM",0.732460661226158
"1524","22B (Omicron)","XAZ",0.972222603952369
"1555","22B (Omicron)","22C (Omicron)",0.868334515495627
"1557","22B (Omicron)","22E (Omicron)",0.927021803596395
"1558","22B (Omicron)","22F (Omicron)",0.566623380780796
"1559","22C (Omicron)","BA.2",0.949549734813064
"1561","22C (Omicron)","BA.5.1",0.866790967860073
"1563","22C (Omicron)","XAF",0.733273791652825
"1564","22C (Omicron)","XAM",0.860921834266263
"1565","22C (Omicron)","XAZ",0.846176907779445
"1598","22C (Omicron)","22E (Omicron)",0.79013449880213
"1599","22C (Omicron)","22F (Omicron)",0.612303979062259
"1601","22D (Omicron)","BA.2.75",0.909884316132052
"1603","22D (Omicron)","BM.1.1.1",0.859419777538147
"1610","22D (Omicron)","XBD",0.828974949722974
"1611","22D (Omicron)","XBF",0.922596084656107
"1612","22D (Omicron)","XBH",0.59905719132658
"1640","22D (Omicron)","22F (Omicron)",0.64086508731386
"1641","22E (Omicron)","BA.2",0.776839031014984
"1643","22E (Omicron)","BA.5.1",0.856122314168276
"1645","22E (Omicron)","XAF",0.602535301598858
"1646","22E (Omicron)","XAM",0.657095598303732
"1647","22E (Omicron)","XAZ",0.894333687364321
"1651","22E (Omicron)","XBD",0.508477931313281
"1681","22E (Omicron)","22F (Omicron)",0.580933908328698
"1682","22F (Omicron)","BA.2",0.568150290690587
"1683","22F (Omicron)","BA.2.75",0.654561410215584
"1684","22F (Omicron)","BA.5.1",0.560458977784781
"1685","22F (Omicron)","BM.1.1.1",0.622405044206351
"1688","22F (Omicron)","XAZ",0.573734448039405
"1692","22F (Omicron)","XBD",0.56019476995566
"1693","22F (Omicron)","XBF",0.688719490520626
