Date,Jan 20,Feb 20,Mar 20,Apr 20,May 20,Jun 20,Jul 20,Aug 20,Sep 20,Oct 20,Nov 20,Dec 20,Jan 21,Feb 21,Mar 21,Apr 21,May 21,Jun 21,Jul 21,Aug 21,Sep 21,Oct 21,Nov 21,Dec 21,Jan 22,Feb 22,Mar 22,Apr 22,May 22,Jun 22,Jul 22,Aug 22,Sep 22,Oct 22,Nov 22,Dec 22,Jan 23
Canada,0,1,127,13,62,790,58,52,1043,1046,124,920,4689,8099,9250,5221,14865,29063,15592,23795,32292,23314,28969,31782,31176,22924,28941,28049,20165,22657,21213,16474,17256,16201,16231,12798,12118
Canary Islands,0,0,0,1,2,15,0,0,64,0,1,0,0,68,23,222,76,0,0,0,164,166,169,16,0,0,0,1099,1,0,5543,0,1,0,0,219,8
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,9,52,2,12,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,54,11,2,18,0,0,0,0,1,0,46,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,32,0,17,0,0,0,0,0,0,0,0,0,0
Chile,0,0,7,0,138,23,0,0,0,16,45,386,353,0,491,505,238,1832,1248,2082,1808,3907,3402,1850,2020,1154,1361,479,3446,991,3967,2351,1735,1234,1172,669,1016
China,52,77,236,204,336,50,61,17,7,13,4,32,21,123,14,16,36,25,74,63,2,9,186,33,306,136,200,96,255,46,239,1,2,9,721,589,2744
Colombia,0,0,2,0,83,41,23,0,27,0,21,21,75,232,55,303,452,496,85,935,915,3093,1172,3026,2365,1388,1294,1204,687,1609,2020,1343,548,407,454,1312,646
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,17,0,0,0,0,0,0,8,0,0,0
Costa Rica,0,0,0,6,0,1,38,24,22,0,0,43,47,86,64,128,144,83,105,257,224,91,312,577,465,371,531,347,501,467,876,881,449,428,419,979,175
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,49,16,0,0,33,79,0,0,0,91,0,0,0,8,0,426,0,56,0,0,0,0,0,17,112,2,9
Crimea,0,0,0,1,0,0,0,0,0,0,0,5,0,0,2,0,1,0,23,0,10,1,24,32,22,0,3,0,8,0,3,1,154,80,25,60,0
Croatia,0,0,0,7,13,2,0,0,0,0,0,28,0,129,677,481,414,3198,878,1180,410,1333,3255,2166,5548,6728,3414,1396,1734,682,1238,2069,1782,728,1231,1058,355
Cuba,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,651,0,0,0,396,0,0,38,83,0,0,0,1,350,0,0,79,0,0,0,0
Curacao,0,0,0,0,0,0,0,0,4,0,5,0,0,62,91,147,91,24,58,118,107,114,128,44,138,216,117,86,145,113,89,87,31,71,53,18,38
Cyprus,0,0,0,0,0,8,0,0,0,0,0,0,0,0,125,0,34,0,0,0,1,0,0,594,0,0,0,0,10,0,644,0,0,0,0,0,1759
Czech Republic,0,0,3,26,1,9,10,3,36,27,103,64,332,37,724,1096,942,1413,1237,1232,1500,2724,4366,4733,5943,4838,4158,3830,3275,1256,1703,2949,2573,2524,1699,655,489
Democratic Republic of the Congo,0,0,19,33,81,23,43,66,84,7,7,0,0,11,0,33,12,1,454,0,0,0,0,0,143,369,91,117,94,59,24,75,29,87,52,11,7
Denmark,0,0,9,328,405,0,0,13,0,0,8370,11238,14418,13110,2654,2,51916,13865,16382,24585,13673,15327,40447,55018,48451,52262,63178,47640,18605,18190,15323,16185,14256,16125,14151,13774,8441
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,87,0,167,0,60,1,0,219,101,0,0,0,29,0,116,0,52,1,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,19,0,2,0,0,0,9,0,0,0,0,0,1,0
Dominican Republic,0,0,0,0,0,0,0,8,0,0,0,0,1,0,11,0,28,32,184,26,37,33,208,0,287,307,0,0,0,0,263,120,258,86,214,409,78
Ecuador,0,0,1,3,0,8,37,14,22,5,13,57,48,65,52,95,204,252,656,428,413,71,1121,213,183,527,670,229,492,319,457,995,358,119,283,430,623
Egypt,0,0,0,2,20,64,30,0,36,6,0,0,251,6,37,1,436,115,2,19,8,20,74,292,459,0,0,0,518,0,0,221,0,314,169,108,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,98,0,48,92,65,0,69,0,92,0,0,52,0,98,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,95,0,0,24,0,48,24,0,0,0,16,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0
Estonia,0,0,0,4,1,14,0,1,0,0,0,0,0,2,470,971,340,2189,318,481,1088,701,833,649,521,1015,623,523,1073,727,395,264,729,640,344,0,0
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,11,0,0,0,90,0,0,0,0,425,0,0,339,89,0,78,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,6,0,87,163,248,0,0,0,103,1,1,0,0,0,0,0,0,0,0
Faroe Islands,0,0,0,0,0,0,0,0,14,0,23,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,1,39,0,0,0,227,0,0,0,0,166,721,452,767,677,2268,6161,2079,1921,2799,1983,1670,1167,2761,1789,1417,2009,2121,1149,816,2378,527,767,1233,4109,1111
France,2,8,109,129,143,3,17,156,79,846,732,696,1371,3602,6845,13106,14371,11613,7840,23970,20457,17968,22364,30267,30923,37646,62170,93313,35303,30637,25276,25672,12391,16645,13718,12568,9518
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,10,125,27,87,132,58,90,194,109,36,100,191,257,18,50,2991,144,167,180,257,29,12,78,132,0
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,48,30,1,4,0,18,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,23,148,31,8,62,12,24,0,0,358,0,296,0,0,0,2,0,0,0,0,0,0
